,Address,Beds,Baths,Price,Sqft,Sqft_lot,Description,Street,District,City,State,Zip Code
79,"10101 Vista Del Sol St, Austin, TX 78733",4.0,3.0,2100000.0,2909.0,43560.0,"Welcome to this stunning contemporary home, a masterpiece of modern design and elegance. Nestled in a quiet cul-de-sac, this residence boasts expansive land space, offering both privacy and room for outdoor activities. As you step inside, you'll be captivated by the extensive use of glass throughout the home, allowing natural light to pour in and creating a seamless connection between the indoor and outdoor spaces. The open floor plan enhances the sense of spaciousness, with clean lines and high-end finishes adding to the sophisticated ambiance. The master suite is a true retreat, featuring a beautifully customized balcony where you can enjoy your morning coffee or unwind in the evenings, t",10101 Vista Del Sol St,Austin,Austin,TX,78733
80,"2001 Faro Dr #13, Austin, TX 78741",3.0,2.5,425000.0,1581.0,,"Great opportunity to own an adorable home under half a mile to the future Rivers Domain. The 3bd/2.5ba home is situated within the gated Riverside Villas. Upon entering the home you notice the hard wood floors and vaulted ceilings. Continuing through the home you are greeted with an open living and dining room space that is overlooked by the kitchen. The kitchen boasts; 42 inch cabinets, granite countertops and stainless-steel appliances. Rounding out the first floor is the laundry room, half bathroom and primary bedroom and bedroom suite. The second floor includes a loft, perfect for an office, and two secondary bedrooms with a shared bathroom. Call to schedule a private visit.",2001 Faro Dr #13,Austin,Austin,TX,78741
81,"11916 Thompkins Dr, Austin, TX 78753",3.0,2.0,369000.0,1375.0,,"Great home for sale! This beautiful property features an excellent floor plan with a flexible room suitable as an office, playroom, or formal dining area. New carpets It includes 3 bedrooms, 2 full baths, a 2-car garage, covered patio, private backyard, and a charming front yard with curbs. Located in the highly sought-after area of Copperfield in North Austin, the home offers a balance of central living and a secluded neighborhood feel. This location provides easy access to I-35, The Domain, parks, hike  &amp;  bike trails, and a wide variety of restaurants and entertainment options.",11916 Thompkins Dr,Austin,Austin,TX,78753
82,"8106 Evadean Cir, Austin, TX 78745",4.0,2.5,499999.0,2233.0,,"Welcome to your dream home! This stunning two-story residence offers an abundance of open space and natural light, creating a warm and inviting atmosphere. As you enter, you'll be greeted by a spacious and airy living area, perfect for entertaining or relaxing with family. The large windows throughout the home flood each room with sunshine, enhancing the open and bright feel. The well-designed layout includes a modern kitchen with ample counter space and storage, seamlessly flowing into the dining and living areas. Upstairs, you'll find generously sized bedrooms, each offering a serene retreat with plenty of natural light. One of the standout features of this home is the incredible washer a",8106 Evadean Cir,Austin,Austin,TX,78745
83,"8229 Evelina Trl, Austin, TX 78737",4.0,3.0,850000.0,3208.0,10454.4,"Beautiful one-story brick-stone combo residence in the small and friendly, Ridgeview subdivision. This 4br, 3 bath home is a plethora of space, comfort and classy living. Step onto the well-kept grounds and admire the landscaped gardens and front, stone carved patio. The partial wrought iron fence leads you down a paved sidewalk, to the arched entry of the home. Just past the foyer, you will find two bonus rooms which can be used for studies or flex spaces. A guest bathroom and office are just a few feet further for those wishing to get some work done. Just quite literally around the corner, the home expands into an open floor plan, stretching from kitchen to living area with outside access",8229 Evelina Trl,Austin,Austin,TX,78737
84,"5841 Kleberg Trl, Austin, TX 78747",4.0,2.5,425000.0,2432.0,,"Welcome to this stunning  &amp;  spacious open concept home featuring four bedrooms, two living areas, a flex room, and 2&frac12; bathrooms. The exterior showcases full front limestone siding, matching limestone tree beds and garden beds, a charming covered front patio  &amp;  a full 2-car garage. Upon entering, you're greeted by a blend of rich wood laminate flooring  &amp;  plush carpeting. Large bay windows flood the space with natural light, enhancing its warmth  &amp;  charm, while new light fixtures throughout add a modern touch. The expansive kitchen is a chef&rsquo;s delight, featuring elegant granite counters, a center island, sleek stainless-steel appliances, and a generously size",5841 Kleberg Trl,Austin,Austin,TX,78747
85,"6842 Thistle Hill Way, Austin, TX 78754",4.0,3.5,570000.0,3840.0,,"Charming Home with Solar Panels and Modern Upgrades! Step into the welcoming embrace of this charming home, ideally situated in a serene neighborhood. This residence is a sanctuary of modern comfort, featuring recently updated windows that enhance energy efficiency and natural light. You'll find ample space for every occasion, from two expansive living rooms on the main level to versatile flex rooms upstairs, perfect for a home office or additional leisure areas. All bedrooms are conveniently located upstairs, ensuring privacy and convenience. Embrace sustainable living with installed solar panels that significantly reduce monthly electricity costs to approximately $145, alongside a recentl",6842 Thistle Hill Way,Austin,Austin,TX,78754
86,"2410 Bryan St, Austin, TX 78702",3.0,2.5,795000.0,1496.0,,"Welcome home to 2410 Bryan Street, located in the vibrant heart of Austin's east side, where unique charm and modern sustainability converge. This distinctive home, a seemingly large orange box, is the absolute perfect replica of Austin's eclectic spirit. Boasting 3 spacious bedrooms and 2.5 baths, all conveniently located on the ground floor, this residence offers an ideal layout for comfortable living. Step inside to discover an open-concept design that seamlessly connects the living, dining, and kitchen areas, creating an inviting space for entertaining guests. The absence of carpet throughout the home enhances its clean, contemporary aesthetic, while also contributing to easy maintenanc",2410 Bryan St,Austin,Austin,TX,78702
87,"4422 Banister Ln, Austin, TX 78745",2.0,1.0,549000.0,914.0,10018.800000000001,"South Austin treasure! Come see this adorable two bedroom, one bath vintage cottage, filled with an abundance of natural light and nestled on a tree-lined street with a wonderful mix of renovated original homes and new construction! This home lives large for under 1000sf of living area! This home is perfectly situated for those who desire proximity to the vibrant downtown Austin but desire to live in a charming Austin neighborhood! This home offers an unparalleled blend of convenience and style, making it an ideal choice for a first-time homeowner or an astute investor. New builds and condos are plentiful in the neighborhood, making this a gem for future development or construction. No HOA!",4422 Banister Ln,Austin,Austin,TX,78745
88,"14100 Avery Ranch Blvd #1802, Austin, TX 78717",3.0,2.5,405000.0,1747.0,,"Welcome to your picture-perfect condo in the desirable Avery Ranch subdivision! Built in 2007, this stunning 2-level condo offers 3 beds, 2.5 baths, &amp;  spans 1747 sq. ft of meticulously designed living space. This unit is tucked into the back of a very quiet neighborhood with a green space outback for maximum privacy + well-insulated walls that block sound from neighboring units. Recently updated HVAC  &amp;  Water Heater. You&rsquo;re greeted by a spacious foyer that leads into an open floorplan connecting the living  &amp;  dining areas. Large windows throughout flood the home with natural light, complemented by recessed lighting for added ambiance. The kitchen features a breakfast ba",14100 Avery Ranch Blvd #1802,Austin,Austin,TX,78717
89,"10630 Cedar Paw Ln, Austin, TX 78737",6.0,3.0,2290000.0,3918.0,435600.0,"Unrestricted 10 acres on the cusp of both Austin and Dripping Springs. This unique property is perfectly situated between 290 and 1826 and is in highly rated Dripping Springs Independent School District. Spacious two story floor plan with 2 bedrooms down stairs, 4 bedrooms upstairs, + Detached Guest house with 1 bedroom, kitchen, living room, and full bath. Wide open hill country views from every window. Gorgeous pool with zero maintenance astro turf surrounding it. Possible potential to subdivide buyer to confirm. features nicely cleared land providing multiple additional build sites. Owner will finance with 20% down 4.99% 30 year amm 5 year balloon. Currently operates as an STR so please ",10630 Cedar Paw Ln,Austin,Austin,TX,78737
90,"4904 Turnstone Dr, Austin, TX 78744",3.0,1.0,350000.0,1008.0,,"Immaculate, newly renovated 3-bedroom home in the Dove Springs community of Southeast Austin, offering a perfect blend of tranquility and urban convenience. No HOA, and near the Stassney exit so you can avoid the I-35-William Cannon intersection. You'll gladly notice that there aren't dozens of cars parked along this street. Just under 7 miles from Downtown, enjoy easy access to major freeways, HEB, South Congress, ABIA, and more, ensuring a convenient lifestyle at your fingertips. Nestled on a manicured lot with mature trees, this home boasts a freshly painted stone exterior resulting in great curb appeal! A private driveway and attached covered carport for 2 cars provide ample parking spa",4904 Turnstone Dr,Austin,Austin,TX,78744
91,"4510 Terry-o Ln #117, Austin, TX 78745",1.0,1.0,560000.0,1217.0,,"Don&rsquo;t miss the opportunity to be a new resident at home 117, located in &lsquo;The Station at St Elmo. &rsquo; Residence 117 is a two bedroom two bath floor plan, the B2 plan. The home offers green features, 12 foot ceilings, and is almost move in ready! Last opportunity for the final phase of homes. Seller is offering builder and lender incentives. The community boasts several seating areas throughout and also many amenities. There&rsquo;s an on-site gym, pool, private workspaces, yoga room, etc. Inquire today about all available homes!",4510 Terry-o Ln #117,Austin,Austin,TX,78745
92,"5712 Avenue D, Austin, TX 78752",4.0,2.0,715000.0,1490.0,,"Located in a friendly Austin neighborhood, this charming ranch-style home at 5712 Avenue D is an outstanding investment opportunity, with a LEASE IN PLACE THROUGH JUNE 2025. The buyer will assume the existing lease, providing an immediate return on investment and a seamless transition into this vibrant community. The home features a welcoming covered front porch and a spacious, partially covered back porch, perfect for social gatherings and enjoying the pleasant Austin weather. Inside, the thoughtfully upgraded kitchen enhances both culinary adventures and conversation, making it the heart of the home. Three cozy bedrooms, two well-appointed bathrooms, and two versatile living areas offer a",5712 Avenue D,Austin,Austin,TX,78752
93,"9105 N Madrone Trl, Austin, TX 78737",5.0,2.0,999999.0,2112.0,218235.59999999998,"Welcome to the City of Bear Creek, this serene 1980s farmhouse on 5 acres in Bear Creek Oaks has a low annual HOA and property tax rate! This charming 2-story home in Dripping Springs ISD offers rustic charm and modern updates. Bring your animals!    With 2,112 sq ft, the layout features 5 bedrooms and 2 bathrooms, including 2 bedrooms on the main floor. The second bedroom could be an oversized closet, office, or nursery. Cozy living areas with a wood-burning fireplace, original hardwood floors, beamed ceilings, built-in bookcases, and chandeliers add to the farmhouse appeal. Exterior painted Creamy BM Ballet White, interior SW Oyster White. The kitchen includes essentials like a microwave,",9105 N Madrone Trl,Austin,Austin,TX,78737
94,"4510 Terry-o Ln #133, Austin, TX 78745",2.0,2.0,635000.0,1324.0,,"Introducing our brand-new, mixed-use community, featuring a class-A collection of studio to three-bedroom condominiums, alongside one to two-bedroom live/work residences. Each unit is thoughtfully designed with flexible floor plans and architectural touches to suit your lifestyle needs, whether you need an office, studio, classroom, extra bedroom, gallery, storage, yoga space, and more. Our live/work residences seamlessly integrate living and working spaces, providing the perfect environment for both productivity and relaxation.",4510 Terry-o Ln #133,Austin,Austin,TX,78745
95,"1905 Ralph Cox Rd, Austin, TX 78748",3.0,2.0,459000.0,1556.0,,"Beautifully updated  &amp;  maintained single story home in Rancho Alto. .. NEW A/C, NEW ROOF, NEW FENCE, along with Stunning kitchen remodel with updated 42 inch white cabinetry, quartz counters, and stainless steel appliances; large breakfast bar and pantry * Open floor plan with high ceilings  &amp;  great natural light * Separate study * Recessed lighting * Jetted garden tub, separate shower and large walk-in closet in spacious owner's suite * Wainscoting in 2nd bath * Landscaped backyard with covered patio has good privacy from neighbors * Workbench and built-in shelving in garage * Seamless gutters * Solar powered attic fan * Community playground * Great location with easy access to 1",1905 Ralph Cox Rd,Austin,Austin,TX,78748
96,"2103 Highgrove Ter, Austin, TX 78703",4.0,3.0,2000000.0,2169.0,10454.4,"Gorgeous and peaceful living in Deep Eddy! This stunning residence, remodeled inside and out by Mission Home Builders, offers luxury and comfort with high-end finishes and marble, quartz, and soapstone countertops. Modern fixtures and hardware plus meticulously placed windows make this home the perfect hideaway in the trees within the city. The open floor plan integrates the gourmet kitchen, living and dining spaces with views of the greenbelt, bringing natural light into the home. The primary suite boasts a spa-like en-suite complete with a dual head, walk in shower, picturesque free standing over-sized tub, and vast counterspace with dual sinks. Three secondary bedrooms, one perfect for a",2103 Highgrove Ter,Austin,Austin,TX,78703
97,"13411 Stocksbridge Dr, Pflugerville, TX 78660",3.0,2.0,416990.0,1937.0,,"MLS# 2093369 - Built by Brohn Homes - December completion! ~ Enjoy quality finishes in this Energy Certified spacious 1937 sq ft 3 bedroom and 2.5 bath home with 2 car garage. This layout is designed for both functionality and comfort with open-concept living area that combines the family room, dining area, and kitchen. This community offers you a vibrant lifestyle close to shopping and entertainment. Don't miss the opportunity to own a beautifully designed home in a prime location.",13411 Stocksbridge Dr,Pflugerville,Pflugerville,TX,78660
98,"1412 Payton Falls Dr, Austin, TX 78754",3.0,2.0,519000.0,2173.0,10890.0,"Houses with this much charm rarely come on the market! 1412 Payton Falls Drive has just been listed. This immaculate, fully updated home backs to Walnut Creek and boast not only a gorgeous, oversized lot, but a view that few can call their own. This home exudes curb appeal and meticulous attention to detail. Inside, you&rsquo;ll find hardwood floors throughout, the complete kitchen remodel includes Ceasar Stone Countertops, Hand built White cabinets with glass inserts. Slow close drawers, a marble backsplash, Miele dishwasher and a farm sink. All stainless-steel appliances and the Refrigerator conveys. The family room is open to the kitchen and features a gorgeous fireplace with Ceasar ston",1412 Payton Falls Dr,Austin,Austin,TX,78754
99,"13413 Stocksbridge Dr, Pflugerville, TX 78660",4.0,2.5,479990.0,3007.0,,"MLS# 1930730 - Built by Brohn Homes - December completion! ~ Enjoy quality finishes in this Energy Certified spacious 3007 sq ft 4 bedroom and 2.5 bath home with 2 car garage. This layout is designed for both functionality and comfort with open-concept living area that combines the family room, dining area, and kitchen. The vaulted ceilings in the family room are the highlight of this layout! This community offers you a vibrant lifestyle close to shopping and entertainment. Don't miss the opportunity to own a beautifully designed home in a prime location!",13413 Stocksbridge Dr,Pflugerville,Pflugerville,TX,78660
100,"2811 W 50th St, Austin, TX 78731",5.0,4.5,2300000.0,3276.0,,"Located on a charming corner lot spanning approximately 0.20 acres, this custom home exudes timeless elegance with its Old Texas Vintage White brick exterior. With 3,261 square feet of living space meticulously designed across two levels, this residence offers a harmonious blend of modern living and comfort. Step inside to discover a thoughtfully crafted interior adorned with white oak hardwoods, creating an inviting ambiance throughout. The main level impresses with its functional layout, featuring a primary suite alongside a guest bedroom, providing convenience and flexibility for any buyer. Great for entertaining, the kitchen is equipped with top-of-the-line Thermador appliances and quar",2811 W 50th St,Austin,Austin,TX,78731
101,"4165 Canyon Glen Cir, Austin, TX 78732",3.0,2.5,690000.0,2252.0,,"This Steiner Ranch property is absolutely precious! Featuring a thoughtfully designed backyard with a saltwater POOL  &amp;  hot tub, composite decking, and a cozy sitting area that overlooks the entire backyard oasis. Not only is the exterior update adorable, when you step inside you'll find the cutest kitchen remodel with large island, hardwood flooring, updated cabinets, modern tile backsplash, pendant lighting  &amp;  stainless appliances. Other custom features include recent Pella windows that bathe the interior in natural light, custom California Closet Systems in utility room, dual primary suite closets, &amp;  secondary bedroom closets, and epoxy garage flooring. The primary suite i",4165 Canyon Glen Cir,Austin,Austin,TX,78732
102,"6002 Boxcar Run, Austin, TX 78745",3.0,2.0,415000.0,1076.0,10890.0,"Great house in a highly sought-after neighborhood. This quaint 3 bed/2 bath home is close to downtown Austin and all the shops, restaurants, and entertainment that South Austin has to offer. With attention given to design throughout, this home was tastefully updated by its owners to provide a warm and inviting space to call home. Enjoy your evenings on the expansive deck out back with multiple seating areas, perfect for entertaining or relaxing. The huge backyard, situated on an almost quarter-acre lot, offers plenty of space for outdoor activities and future landscaping projects. Curl up inside the cozy living room with a great book, or venture outside to explore the natural play areas and",6002 Boxcar Run,Austin,Austin,TX,78745
103,"305 Cedarbrook Ct, Austin, TX 78753",4.0,2.0,873400.0,2330.0,31363.199999999997,"Great mid-century modern house with 4 bedrooms, and 2 baths, and plenty of space. Huge backyard of . 72 acres offers peaceful serenity with many oversize trees. Upstairs office space. Multiple living rooms. Primary bedroom at front of the house with nice views to the City of Austin Park across the street. Park offers paved path and access to Walnut Creek District Park with miles of hiking, walking, biking trails, playground, pool, and sport courts. Oak Ridge neighborhood offers convenient access to IH 35 at Braker, and is only a short drive to Q2 Stadium, and the Domain. Short trip to Austin's International Food District at N. Lamar and Braker. Previous owner combined 3 separate legal lots ",305 Cedarbrook Ct,Austin,Austin,TX,78753
104,"1705 Ravey St, Austin, TX 78704",2.0,2.5,895000.0,1729.0,,"Don&rsquo;t miss this stunning condo designed by urban visionary SINCLAIR BLACK. It&rsquo;s nestled in the Kinney Mues, an intimate 16 unit paradise. Timeless stone walls, pine wood architectural accents, stained concrete floors, and solid wood cherry floors make you feel right at home. Chef&rsquo;s kitchen with granite counters, 36&rdquo; commercial range, farmhouse sink, pantry  &amp;  built-in wine fridge and bookcases. Natural light  &amp;  double french doors open onto 2 patios so you can enjoy the private courtyard. Upstairs is a large primary suite w/ beam ceilings, private balcony and 2 walk-in closets, plus an additional guest suite. Home recently repainted throughout, solid-wood c",1705 Ravey St,Austin,Austin,TX,78704
105,"8200 Neely Dr #251, Austin, TX 78759",2.0,2.0,355000.0,979.0,,"Don't miss out on this move-in-ready gem with spectacular views!  Enjoy zero steps to the condo and zero steps inside, making it easily accessible for everyone. Recently updated bathroom, new fixtures, commode, paint, and tile. Step onto new carpeting in the bedrooms, adding a fresh and cozy touch. The kitchen has a brand-new range and microwave, never before used, and a convenient pass-through window over the sink that opens to the balcony&mdash;perfect for serving and entertaining. Plus, the refrigerator stays, adding even more convenience. Open floor plan from the living room into the dining area, inviting space. The new sliding glass door leads to the balcony, where you can relish breat",8200 Neely Dr #251,Austin,Austin,TX,78759
106,"13016 Carswell St, Austin, TX 78754",4.0,2.5,419990.0,2120.0,,"Backyard Oasis with POOL and Gazebo!!! The large covered back patio is the perfect place to enjoy a cup of coffee in the morning or relax in the evening after a long day. The sparkling swimming pool will provide a place to make plenty of memories while cooling off on hot summer days! beautifully updated home from 2019 featuring 4 spacious bedrooms, 2.5 bathrooms, and nearly 2200 sq ft. Perfect place to entertain in an overlarge corner lot, open floor plan, and enjoy meals in the formal dining room overlooking the backyard. Storage is ample with a huge pantry and numerous storage options throughout the home, all the bedrooms are spacious and with great closet space. THIS AUSTIN LOCATION IS P",13016 Carswell St,Austin,Austin,TX,78754
107,"703 Loma Linda Dr, West Lake Hills, TX 78746",5.0,5.0,7395000.0,6055.0,33105.6,"Completion Date set for July 31, 2024. Discover unparalleled luxury in West Lake Hills with this newly constructed modern masterpiece at 703 Loma Linda. Nestled among mature oak trees on a cul-de-sac, this 6,000 sqft custom-built home redefines contemporary elegance  &amp;  comfort. The property's gardens  &amp;  floor-to-ceiling windows invite you into a world of sophisticated design  &amp;  breathtaking aesthetics. Inspired  &amp;  built by Seven Custom Homes, the residence showcases a blend of warm, contemporary style  &amp;  functional living spaces. The spacious living room, featuring custom brickwork  &amp;  abundant natural light, opens to a cozy sitting area adorned with a striking ",703 Loma Linda Dr,West Lake Hills,West Lake Hills,TX,78746
108,"2902 Pecos St, Austin, TX 78703",3.0,4.5,2995000.0,2890.0,15245.999999999998,"This stunning home, nestled in the highly desirable Tarrytown neighborhood, sits on a spacious . 35-acre flat lot, with a circle driveway. The property underwent a complete renovation in 2020, transforming it into a modern haven with an open floor plan that seamlessly connects the living room, dining areas, and kitchen. Enter through the double front door and be awed by the classic saltillo tile patio, that flows perfectly from the second living. The spacious kitchen invites any chef to create culinary masterpieces. It features a Sub-Zero refrigerator, a six-burner Wolf gas range with double ovens, and a large island perfect for preparing and showcasing delicious meals. Additional features ",2902 Pecos St,Austin,Austin,TX,78703
109,"2450 Wickersham Ln Unit M1311, Austin, TX 78741",1.0,1.0,239000.0,750.0,,"JUST LISTED Rare opportunity to own your own home near Austin's entertainment and bussiness centers in this price range. Park like setting close in to Downtown, South Congress, UT Shuttle, Bus, Airport in a Community of owners taking advantage of the location and amenities. Cozy corner unit with park like setting near parking. HVAC one year old, newer Washer/dryer and refrigerator included, new dishwasher, cozy fireplace, perfect for replacing rent with paying yourself, 2 pools and dog friendly park. Construction underway on new units selling in $400K's. Call today to see",2450 Wickersham Ln Unit M1311,Austin,Austin,TX,78741
110,"3413 Blumie St Unit A, Austin, TX 78745",3.0,2.5,449000.0,1376.0,,"The most charming duplex in South Austin. Located close to everything, this adorable home was fully remodeled in 2021. The high ceilings, open concept floor plan and tons of natural light create an inviting and cozy space on the main floor of the home. The kitchen has ample storage, quartz countertops and a full appliance suite. It opens to the dining and living room; and with quick assess to the backyard its a perfect spot for entertaining. Head up stairs and you will find a large primary bedroom with great closet space and an updated bathroom with a spa like walk in shower. Two additional bed rooms and a large secondary bathroom make the upstairs a versatile space, providing a home office",3413 Blumie St Unit A,Austin,Austin,TX,78745
111,"1707 Spyglass Dr #124, Austin, TX 78746",1.0,1.5,475000.0,1225.0,,"Lock  &amp;  leave living in Eanes ISD! Rarely-available huge 1,225sqft two-story corner-unit floorplan with FOUR outdoor patios and soaring ceilings in the main living area. Tons of natural light, energy-efficient windows, and professionally remodeled by Renata Marsilli with Marsilli Homes. Just steps from the entrance to this recently renovated gated community with sparkling pool are a boutique neighborhood grocery, Austin-favorite Tacodeli, and the Spyglass greenbelt entrance leading to walking/hiking trails, swimming holes, and rock climbing. Minutes to Zilker Park, UT, Ladybird Lake, and downtown with ACL and SXSW within easy biking distance.",1707 Spyglass Dr #124,Austin,Austin,TX,78746
112,"17212 Raynham Hill Dr, Austin, TX 78738",4.0,4.5,1899999.0,4793.0,100623.6,"An entertainer&rsquo;s hillside resort with panoramic views awaits you. Welcome to 17212 Raynham Hill Drive. As you approach this amazing residence you will notice the incredible privacy provided by the gated cul-de-sac lot with only two neighbors to your left. Hidden from the street is an impressive circular driveway with limestone walls, mature landscaping, and parking for sixteen. You are greeted by a two story stone entry with columns and Cantera French doors inviting you in. The impressive two story foyer cascades down to the main living featuring a soaring stone fireplace with niches, curved staircase to the bridge above and is open to the formal dining, kitchen, and breakfast rooms. ",17212 Raynham Hill Dr,Austin,Austin,TX,78738
113,"4517 Bat Falcon Dr, Austin, TX 78738",4.0,3.5,1495000.0,4648.0,10890.0,"Experience the epitome of luxury living in this entertainer&rsquo;s paradise! Nestled on the 14th hole of Falconhead Golf Course, this newly remodeled 4,647 sq ft home is a true gem. The kitchen and master suite feature stunning quartz countertops, complemented by elegant all-white cabinets with gold pulls and top-of-the-line Bosch luxury appliances. The custom family-sized kitchen island is perfect for gatherings. The entire home boasts new lighting and flooring, creating a fresh and sophisticated ambiance. Additional upgrades include recent LVT plank flooring, recent AC unit, new ceiling fans on the first floor, and French drains with ample irrigation for easy maintenance. Relax on cool n",4517 Bat Falcon Dr,Austin,Austin,TX,78738
114,"11720 Spotted Horse Dr, Austin, TX 78759",3.0,2.0,500000.0,1583.0,,"* OFFER DEADLINE: Sun, 7/14 at 7pm CT. *   Located in the Mesa Park, this impeccably remodeled 1976 home offers a blend of contemporary design and timeless appeal. With 3 bedrooms and 2 full bathrooms, this residence promises comfort and style in every corner. Walk into an expansive living area where engineered hardwood flooring stretches throughout, creating a warm and inviting atmosphere. The redesign opens up the living room, kitchen, and dining area into one cohesive space, ideal for both entertaining and everyday living. The gourmet kitchen is truly the heart of the home, featuring impeccable finishes, stainless appliances and an oversized center island with seating. With ample counter",11720 Spotted Horse Dr,Austin,Austin,TX,78759
115,"98 San Jacinto Blvd #1806, Austin, TX 78701",2.0,2.5,3500000.0,1853.0,,"Lakeside 2-bedroom at Four Seasons Residences downtown. Sought-after floorplan, rarely available. Large living area. Bedrooms with corner windows and lake views from every room. Chef's kitchen with abundant workspace, center island, and large utility/pantry area adjacent to kitchen. Marble floors, powered shades. Spacious balcony. Panoramic views throughout. Four Seasons services and amenities including concierge and valet parking. 24-hour notice with appointment required for showings. Call or text agent.",98 San Jacinto Blvd #1806,Austin,Austin,TX,78701
116,"715 22 1/2 St #101, Austin, TX 78705",2.0,2.0,380000.0,800.0,,"Awesome 2-bed 2-bath condo in the heart of west campus. Only a 5-minute walk to class. Remodeled unit, a great way to get instate tuition. A must go see!",715 22 1/2 St #101,Austin,Austin,TX,78705
117,"712 Graham Pl #304, Austin, TX 78705",2.0,2.0,332000.0,751.0,,"Rare opportunity to own a very well-maintained, clean and move-in ready, UT West Campus condo at Sabinal complex, just 3 blocks from campus. Great long term investment. Why pay rent for your student(s) when you can own a condo? The HOA allows leasing for a shortened 6-month period, so also perfect for a visiting professor. Comes with 1 covered parking space in the garage under the complex keeping cars shaded in the summer months and protected during hailstorms and one uncovered parking space. Refrigerator and stackable washer/dryer convey with the sale. New dishwasher installed in July 2024. Well-lit, 3rd floor (TOP FLOOR) unit with a wonderful skylight in the living room ceiling. No one st",712 Graham Pl #304,Austin,Austin,TX,78705
118,"2808 Totley Rd, Pflugerville, TX 78660",3.0,2.5,393990.0,2107.0,,"MLS# 3022516 - Built by Brohn Homes - December completion! ~ Enjoy quality finishes in this Energy Certified spacious 2072 sq ft 3 bedroom and 2.5 bath home with 2 car garage. This layout is designed for both functionality and comfort with open-concept living area that combines the family room, dining area, and kitchen. This community offers you a vibrant lifestyle close to shopping and entertainment. Don't miss the opportunity to own a beautifully designed home in a prime location.",2808 Totley Rd,Pflugerville,Pflugerville,TX,78660
119,"2802 Warren St Unit B, Austin, TX 78703",3.0,3.0,1200000.0,1800.0,,"This remodeled unit in Tarrytown offers a prime location just minutes from Casis Village and Casis Elementary. It showcases modern designer finishes such as hardwood floors throughout, updated lighting and fixtures, and high ceilings that enhance the spacious feel. Nearly everything has been updated in this home! The large master suite is a highlight with its luxurious bathtub and separate shower, complemented by a walk-in closet featuring built-in shelves and cabinetry for ample storage. The kitchen boasts stainless steel appliances, and the property includes two covered carport parking spaces and a generously sized private fenced yard, perfect for outdoor activities and gatherings.",2802 Warren St Unit B,Austin,Austin,TX,78703
120,"4505 Shoal Creek Blvd, Austin, TX 78756",4.0,4.0,1545000.0,3012.0,10890.0,"Stunning modern new construction! Built to impress and last, this home represents the finest selection of building materials. Located in one of Austin&rsquo;s most desirable neighborhoods, it features two living areas (on the first and third floors), four bedrooms (two of which are large suites), and 3.5 bathrooms. Modern architecture sets new standards for living in Austin. The custom kitchen, equipped with top-of-the-line Dacor appliances, features white luxury quartzite and quartz countertops, natural white oak cabinets, and an open floor plan. An extra-large patio door offers an expanded view of the backyard paradise, which includes a pool. The second floor includes three extra-large be",4505 Shoal Creek Blvd,Austin,Austin,TX,78756
121,"209 W 55th 1/2 St, Austin, TX 78751",4.0,2.0,550000.0,1415.0,,"Nestled just 4-5 miles from Downtown Austin and conveniently located off North Lamar, this charming single-family home offers both comfort and convenience. Boasting four spacious bedrooms and two updated bathrooms, this home is perfect for families of all sizes. The kitchen is a chef's delight, equipped with sleek stainless steel appliances. The expansive living area features beautiful built-ins, providing ample storage and a cozy atmosphere. Each bedroom is generously sized, ensuring plenty of space for relaxation and personalization. The home showcases elegant wood floors throughout, adding warmth and character. With an air conditioning unit that's less than five years old, you can enjoy ",209 W 55th 1/2 St,Austin,Austin,TX,78751
122,"15912 Stewart Rd, Austin, TX 78734",3.0,2.0,545000.0,1454.0,,"Two houses! Lake Travis ISD! Thoughtfully renovated, upgraded, and landscaped with fenced/mulched dog park, doghouse (w/ electric  &amp;  AC!), and guest casita/office. Perfect for short-term rentals! 2min from Lake Travis, a boat ramp, and Lakeway area restaurants/retail. Covered parking, large mature trees with shade, and new HVAC, water heater, septic pump, plumbing, flooring, decking, and appliances. Properties like this don&rsquo;t come up often in the Lake Travis area!",15912 Stewart Rd,Austin,Austin,TX,78734
123,"6203 Lost Creek Cir, Austin, TX 78746",5.0,5.0,3695000.0,4675.0,15245.999999999998,"Experience luxury living in Austin's sought-after Lost Creek community. This stunning new build combines classic architecture with modern flair, offering a fresh take on upscale living. Flooded with natural light, the interiors are warm and inviting, showcasing clean lines and top-notch craftsmanship. The open floor plan reveals a chef's kitchen with a butler pantry, ideal for entertaining. The living area features a charming brick fireplace wall, while the sunroom vestibule leads to a private primary suite with an enormous walk-in closet and a spa-like bath with multiple shower heads and a luxurious soaking tub. Upstairs, enjoy beautiful hill country views, four additional bedrooms, three ",6203 Lost Creek Cir,Austin,Austin,TX,78746
124,"8910 Sparkling Creek Dr, Austin, TX 78729",3.0,2.0,499000.0,1427.0,,"NW Austin Gem! 3 miles to Apple Campus, 6 miles to Domain, 10 miles to Dell, 11 miles to Downtown. Completely refreshed home, with a new roof, new windows and doors, new flooring, new kitchen and baths. Huge ~500sqft screened and covered back patio is only rivaled by the primary closet - tons of built-ins and all the space you could want! The garage has ample storage including a workbench, cabinets, and ready for an EV with a 50A wall outlet - easy plug  &amp;  play installation for your charger.",8910 Sparkling Creek Dr,Austin,Austin,TX,78729
